LotFrontageSF,LotAreaSF,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMaterial,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,FirstFlrSF,SecondFlrSF,GrLivArea,GarageType,GarageYrBlt,GarageCars,GarageSF,GarageQual,WoodDeckSF,OpenPorchSF,MiscFeature,SalePrice
65,8450,Single Family Detached,2 Story,7,5,2003,2003,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,706,856,GasA,5,Yes,856,854,1710,Attached,2003,2,548,3,0,61,None,208500
80,9600,Single Family Detached,1 Story,6,8,1976,1976,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,978,1262,GasA,5,Yes,1262,0,1262,Attached,1976,2,460,3,298,0,None,181500
68,11250,Single Family Detached,2 Story,7,5,2001,2002,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,486,920,GasA,5,Yes,920,866,1786,Attached,2001,2,608,3,0,42,None,223500
60,9550,Single Family Detached,2 Story,7,5,1915,1970,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,4,216,756,GasA,4,Yes,961,756,1717,Detached,1998,3,642,3,0,35,None,140000
84,14260,Single Family Detached,2 Story,8,5,2000,2000,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,655,1145,GasA,5,Yes,1145,1053,2198,Attached,2000,3,836,3,192,84,None,250000
85,14115,Single Family Detached,1.5 Story,5,5,1993,1995,Gable,Standard Composite Shingle,3,3,Wood,4,3,732,796,GasA,5,Yes,796,566,1362,Attached,1993,2,480,3,40,30,Shed,143000
75,10084,Single Family Detached,1 Story,8,5,2004,2005,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,1369,1686,GasA,5,Yes,1694,0,1694,Attached,2004,2,636,3,255,57,None,307000
0,10382,Single Family Detached,2 Story,7,6,1973,1973,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,859,1107,GasA,5,Yes,1107,983,2090,Attached,1973,2,484,3,235,204,Shed,200000
51,6120,Single Family Detached,1.5 Story,7,5,1931,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,952,GasA,4,Yes,1022,752,1774,Detached,1931,2,468,2,90,0,None,129900
50,7420,Two Family Conversion,1.5 Story,5,6,1939,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,851,991,GasA,5,Yes,1077,0,1077,Attached,1939,1,205,4,0,4,None,118000
70,11200,Single Family Detached,1 Story,5,5,1965,1965,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,906,1040,GasA,5,Yes,1040,0,1040,Detached,1965,1,384,3,0,0,None,129500
85,11924,Single Family Detached,2 Story,9,5,2005,2006,Hip,Standard Composite Shingle,5,3,Poured Concrete,5,3,998,1175,GasA,5,Yes,1182,1142,2324,Built-In,2005,3,736,3,147,21,None,345000
0,12968,Single Family Detached,1 Story,5,6,1962,1962,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,737,912,GasA,3,Yes,912,0,912,Detached,1962,1,352,3,140,0,None,144000
91,10652,Single Family Detached,1 Story,7,5,2006,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1494,GasA,5,Yes,1494,0,1494,Attached,2006,3,840,3,160,33,None,279500
0,10920,Single Family Detached,1 Story,6,5,1960,1960,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,733,1253,GasA,3,Yes,1253,0,1253,Attached,1960,1,352,3,0,213,None,157000
51,6120,Single Family Detached,1.5 Story,7,8,1929,2001,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,832,GasA,5,Yes,854,0,854,Detached,1991,2,576,3,48,112,None,132000
0,11241,Single Family Detached,1 Story,6,7,1970,1970,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,578,1004,GasA,5,Yes,1004,0,1004,Attached,1970,2,480,3,0,0,Shed,149000
72,10791,Duplex,1 Story,4,5,1967,1967,Gable,Standard Composite Shingle,3,3,Slab,0,0,0,0,GasA,3,Yes,1296,0,1296,Car Port,1967,2,516,3,0,0,Shed,90000
66,13695,Single Family Detached,1 Story,5,5,2004,2004,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,646,1114,GasA,5,Yes,1114,0,1114,Detached,2004,2,576,3,0,102,None,159000
70,7560,Single Family Detached,1 Story,5,6,1958,1965,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,504,1029,GasA,3,Yes,1339,0,1339,Attached,1958,1,294,3,0,0,None,139000
101,14215,Single Family Detached,2 Story,8,5,2005,2006,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,0,1158,GasA,5,Yes,1158,1218,2376,Built-In,2005,3,853,3,240,154,None,325300
57,7449,Single Family Detached,1.5 Story,7,7,1930,1950,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,0,637,GasA,5,Yes,1108,0,1108,Attached,1930,1,280,3,0,0,None,139400
75,9742,Single Family Detached,1 Story,8,5,2002,2002,Hip,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1777,GasA,5,Yes,1795,0,1795,Attached,2002,2,534,3,171,159,None,230000
44,4224,Townhouse End Unit,1 Story,5,7,1976,1976,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,840,1040,GasA,3,Yes,1060,0,1060,Attached,1976,2,572,3,100,110,None,129900
0,8246,Single Family Detached,1 Story,5,8,1968,2001,Gable,Standard Composite Shingle,3,4,Cinder Block,3,3,188,1060,GasA,5,Yes,1060,0,1060,Attached,1968,1,270,3,406,90,None,154000
110,14230,Single Family Detached,1 Story,8,5,2007,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1566,GasA,5,Yes,1600,0,1600,Attached,2007,3,890,3,0,56,None,256300
60,7200,Single Family Detached,1 Story,5,7,1951,2000,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,234,900,GasA,3,Yes,900,0,900,Detached,2005,2,576,3,222,32,None,134800
98,11478,Single Family Detached,1 Story,8,5,2007,2008,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,1218,1704,GasA,5,Yes,1704,0,1704,Attached,2008,3,772,3,0,50,None,306000
47,16321,Single Family Detached,1 Story,5,6,1957,1997,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,1277,1484,GasA,3,Yes,1600,0,1600,Attached,1957,1,319,3,288,258,None,207500
60,6324,Single Family Detached,1 Story,4,6,1927,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,520,GasA,2,No,520,0,520,Detached,1920,1,240,2,49,0,None,68500
50,8500,Single Family Detached,2 Story,4,4,1920,1950,Gambrel,Standard Composite Shingle,3,2,Brick & Tile,3,3,0,649,GasA,3,No,649,668,1317,Detached,1920,1,250,3,0,54,None,40000
0,8544,Single Family Detached,1 Story,5,6,1966,2006,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,0,1228,GasA,4,Yes,1228,0,1228,Attached,1966,1,271,3,0,65,None,149350
85,11049,Single Family Detached,1 Story,8,5,2007,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,0,1234,GasA,5,Yes,1234,0,1234,Attached,2007,2,484,3,0,30,None,179900
70,10552,Single Family Detached,1 Story,5,5,1959,1959,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,1018,1398,GasA,4,Yes,1700,0,1700,Attached,1959,2,447,3,0,38,None,165500
60,7313,Townhouse End Unit,1 Story,9,5,2005,2005,Hip,Standard Composite Shingle,5,3,Poured Concrete,5,3,1153,1561,GasA,5,Yes,1561,0,1561,Attached,2005,2,556,3,203,47,None,277500
108,13418,Single Family Detached,2 Story,8,5,2004,2005,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,0,1117,GasA,5,Yes,1132,1320,2452,Built-In,2004,3,691,3,113,32,None,309000
112,10859,Single Family Detached,1 Story,5,5,1994,1995,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,0,1097,GasA,5,Yes,1097,0,1097,Attached,1995,2,672,3,392,64,None,145000
74,8532,Single Family Detached,1 Story,5,6,1954,1990,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,1213,1297,GasA,4,Yes,1297,0,1297,Attached,1954,2,498,3,0,0,None,153000
68,7922,Single Family Detached,1 Story,5,7,1953,2007,Gable,Standard Composite Shingle,3,4,Cinder Block,3,3,731,1057,GasA,3,Yes,1057,0,1057,Detached,1953,1,246,3,0,52,None,109000
65,6040,Duplex,1 Story,4,5,1955,1955,Gable,Standard Composite Shingle,3,3,Poured Concrete,0,0,0,0,GasA,3,No,1152,0,1152,None,1955,0,0,0,0,0,None,82000
84,8658,Single Family Detached,1 Story,6,5,1965,1965,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,643,1088,GasA,5,Yes,1324,0,1324,Attached,1965,2,440,3,0,138,None,160000
115,16905,Single Family Detached,1 Story,5,6,1959,1959,Gable,Standard Composite Shingle,3,4,Cinder Block,3,3,967,1350,GasA,4,Yes,1328,0,1328,Attached,1959,1,308,3,0,104,None,170000
0,9180,Single Family Detached,Split Foyer,5,7,1983,1983,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,747,840,GasA,4,Yes,884,0,884,Attached,1983,2,504,3,240,0,None,144000
0,9200,Single Family Detached,1 Story,5,6,1975,1980,Hip,Standard Composite Shingle,3,3,Cinder Block,4,3,280,938,GasA,3,Yes,938,0,938,Detached,1977,1,308,3,145,0,None,130250
70,7945,Single Family Detached,1 Story,5,6,1959,1959,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,179,1150,GasA,5,Yes,1150,0,1150,Attached,1959,1,300,3,0,0,None,141000
61,7658,Townhouse End Unit,1 Story,9,5,2005,2005,Hip,Standard Composite Shingle,5,3,Poured Concrete,5,3,456,1752,GasA,5,Yes,1752,0,1752,Attached,2005,2,576,3,196,82,None,319900
48,12822,Single Family Detached,1.5 Story,7,5,2003,2003,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,1351,1434,GasA,5,Yes,1518,631,2149,Attached,2003,2,670,3,168,43,None,239686
84,11096,Single Family Detached,1 Story,8,5,2006,2006,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,24,1656,GasA,5,Yes,1656,0,1656,Attached,2006,3,826,3,0,146,None,249700
33,4456,Two Family Conversion,2 Story,4,5,1920,2008,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,736,GasA,4,Yes,736,716,1452,None,1920,0,0,0,0,0,None,113000
66,7742,Single Family Detached,1 Story,5,7,1966,1966,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,763,955,GasA,5,Yes,955,0,955,Attached,1966,1,386,3,0,0,None,127000
0,13869,Single Family Detached,2 Story,6,6,1997,1997,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,182,794,GasA,4,Yes,794,676,1470,Attached,1997,2,388,3,0,75,None,177000
52,6240,Single Family Detached,1.5 Story,6,6,1934,1950,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,0,816,GasA,3,Yes,816,0,1176,Detached,1985,2,528,3,112,0,Shed,114500
110,8472,Duplex,1 Story,5,5,1963,1963,Gable,Standard Composite Shingle,2,3,Cinder Block,4,3,104,816,GasA,3,No,816,0,816,Car Port,1963,2,516,3,106,0,None,110000
68,50271,Single Family Detached,1 Story,9,5,1981,1987,Gable,Wood Shingles,4,3,Cinder Block,5,3,1810,1842,GasA,4,Yes,1842,0,1842,Attached,1981,3,894,3,857,72,None,385000
60,7134,Single Family Detached,Split Level,5,5,1955,1955,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,384,384,GasA,3,Yes,1360,0,1360,Detached,1962,2,572,3,0,50,None,130000
100,10175,Single Family Detached,1 Story,6,5,1964,1964,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,490,1425,GasA,4,Yes,1425,0,1425,Attached,1964,2,576,3,0,0,None,180500
24,2645,Townhouse,2 Story,8,5,1999,2000,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,649,970,GasA,5,Yes,983,756,1739,Attached,1999,2,480,3,115,0,None,172500
89,11645,Single Family Detached,2 Story,7,5,2004,2004,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,860,GasA,5,Yes,860,860,1720,Attached,2004,2,565,3,0,70,None,196500
66,13682,Single Family Detached,2 Story,10,5,2006,2006,Hip,Standard Composite Shingle,5,3,Poured Concrete,5,3,0,1410,GasA,5,Yes,1426,1519,2945,Built-In,2006,3,641,3,192,0,None,438780
